TipoLuminaria,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ColorSuelo,ReflectanciaSuelo,IluminanciaSuperior,FlujoSuperior,FHSI
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,negro,4,46.84,154.89,2.87
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,gris oscuro,20,74.35,245.86,4.55
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,gris claro,42,118.00,390.20,7.23
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,blanco,66,152.60,504.62,9.34
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,morado,4,57.25,189.31,3.51
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,rojo,10,50.37,166.56,3.08
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,verde claro,55,152.20,503.29,9.32
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,verde ,27,129.80,429.22,7.95
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,Verde oscuro,11,100.20,331.34,6.14
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,marrón claro,46,149.00,492.71,9.12
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,marrón oscuro,11,65.00,214.94,3.98
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,negro,4,27.16,367.58,6.81
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,gris oscuro,20,31.48,426.05,7.89
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,gris claro,42,45.19,611.59,11.33
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,blanco,66,53.96,730.29,13.52
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,morado,4,32.43,438.90,8.13
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,rojo,10,32.43,438.90,8.13
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,verde claro,55,46.35,627.29,11.62
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,verde ,27,39.60,535.94,9.92
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,Verde oscuro,11,35.88,485.59,8.99
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,marrón claro,46,40.68,550.56,10.20
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,marrón oscuro,11,33.38,451.76,8.37
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,negro,4,35.56,44.45,1.27
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,gris oscuro,20,69.54,86.93,2.48
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,gris claro,42,123.00,153.75,4.39
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,blanco,66,207.50,259.38,7.41
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,morado,4,51.76,64.70,1.85
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,rojo,10,54.47,68.09,1.95
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,verde claro,55,146.30,182.88,5.23
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,verde ,27,127.40,159.25,4.55
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,Verde oscuro,11,67.33,84.16,2.40
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,marrón claro,46,133.30,166.63,4.76
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,marrón oscuro,11,47.35,59.19,1.69
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,negro,4,67.82,84.78,1.26
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,gris oscuro,20,153.60,192.00,2.86
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,gris claro,42,286.00,357.50,5.32
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,blanco,66,488.20,610.25,9.08
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,morado,4,99.45,124.31,1.85
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,rojo,12,140.80,176.00,2.62
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,verde claro,54,342.10,427.63,6.36
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,verde ,26,282.60,353.25,5.25
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,Verde oscuro,10,161.50,201.88,3.00
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,marrón claro,48,323.20,404.00,6.01
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,marrón oscuro,12,112.30,140.38,2.09
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,negro,4,45.70,334.74,4.98
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,gris oscuro,20,62.42,457.20,6.80
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,gris claro,42,76.81,562.60,8.37
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,blanco,66,101.50,743.45,11.06
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,morado,4,52.19,382.27,5.69
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,rojo,12,63.34,463.94,6.90
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,verde claro,54,87.43,640.39,9.52
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,verde ,26,75.76,554.91,8.25
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,Verde oscuro,10,57.22,419.11,6.23
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,marrón claro,48,92.61,678.33,10.09
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,marrón oscuro,12,48.28,353.63,5.26
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,negro,4,36.52,84.76,1.88
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,gris oscuro,20,65.74,152.57,3.39
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,gris claro,42,108.90,252.73,5.62
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,blanco,66,225.30,522.87,11.62
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,morado,4,52.83,122.61,2.72
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,rojo,10,57.66,133.82,2.97
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,verde claro,55,139.50,323.75,7.19
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,verde ,27,122.50,284.30,6.32
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,Verde oscuro,11,77.02,178.75,3.97
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,marrón claro,46,122.40,284.06,6.31
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,marrón oscuro,11,48.08,111.58,2.48
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,negro,4,28.70,274.73,6.11
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,gris oscuro,20,38.82,371.60,8.26
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,gris claro,42,48.31,462.44,10.28
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,blanco,66,52.60,503.51,11.19
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,morado,4,32.62,312.25,6.94
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,rojo,10,33.39,319.62,7.10
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,verde claro,55,47.61,455.74,10.13
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,verde ,27,41.70,399.17,8.87
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,Verde oscuro,11,32.40,310.15,6.89
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,marrón claro,46,42.84,410.08,9.11
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,marrón oscuro,11,27.85,266.59,5.92
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,negro,4,63.78,83.08,1.38
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,gris oscuro,20,129.50,168.69,2.81
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,gris claro,42,248.60,323.84,5.40
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,blanco,66,485.30,632.18,10.54
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,morado,4,82.46,107.42,1.79
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,rojo,12,117.70,153.32,2.56
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,verde claro,54,334.00,435.08,7.25
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,verde ,26,230.20,299.87,5.00
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,Verde oscuro,10,132.60,172.73,2.88
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,marrón claro,48,286.20,372.82,6.21
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,marrón oscuro,12,86.02,112.05,1.87
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,negro,4,73.30,403.49,6.72
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,gris oscuro,20,94.93,522.55,8.71
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,gris claro,42,98.22,540.66,9.01
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,blanco,66,140.80,775.05,12.92
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,morado,4,82.62,454.79,7.58
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,rojo,12,86.76,477.58,7.96
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,verde claro,54,112.60,619.82,10.33
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,verde ,26,112.80,620.92,10.35
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,Verde oscuro,10,81.54,448.84,7.48
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,marrón claro,48,115.30,634.68,10.58
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,marrón oscuro,12,82.94,456.55,7.61
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,negro,4,19.65,25.73,0.74
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,gris oscuro,20,66.35,86.88,2.48
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,gris claro,42,154.20,201.91,5.77
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,blanco,66,358.80,469.81,13.42
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,morado,4,41.83,54.77,1.56
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,rojo,12,80.67,105.63,3.02
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,verde claro,54,214.50,280.86,8.02
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,verde ,26,160.80,210.55,6.02
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,Verde oscuro,10,81.95,107.30,3.07
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,marrón claro,48,185.90,243.42,6.95
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,marrón oscuro,12,46.66,61.10,1.75
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,negro,4,18.15,23.77,0.68
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,gris oscuro,20,63.34,82.94,2.37
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,gris claro,42,146.10,191.30,5.47
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,blanco,66,337.90,442.44,12.64
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,morado,4,42.24,55.31,1.58
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,rojo,12,84.10,110.12,3.15
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,verde claro,54,213.20,279.16,7.98
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,verde ,26,158.40,207.41,5.93
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,Verde oscuro,10,81.76,107.06,3.06
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,marrón claro,48,166.70,218.28,6.24
Philips EW BLAST POWERCORE CK Intelligent series,80,3500,2670,2673,607,marrón oscuro,12,45.87,60.06,1.72
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,negro,4,9.27,15.47,0.44
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,gris oscuro,20,27.57,46.04,1.32
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,gris claro,42,50.18,83.79,2.39
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,blanco,66,112.10,187.19,5.35
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,morado,4,17.47,29.17,0.83
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,rojo,12,27.06,45.19,1.29
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,verde claro,54,71.46,119.33,3.41
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,verde ,26,59.32,99.06,2.83
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,Verde oscuro,10,30.10,50.26,1.44
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,marrón claro,48,57.82,96.55,2.76
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,marrón oscuro,12,19.64,32.80,0.94
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,negro,4,9.09,15.17,0.43
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,gris oscuro,20,26.09,43.57,1.24
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,gris claro,42,50.91,85.01,2.43
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,blanco,66,111.10,185.52,5.30
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,morado,4,17.49,29.21,0.83
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,rojo,12,27.19,45.40,1.30
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,verde claro,54,71.37,119.18,3.41
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,verde ,26,60.55,101.11,2.89
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,Verde oscuro,10,31.87,53.22,1.52
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,marrón claro,48,58.49,97.67,2.79
Philips EW BLAST POWERCORE CK Intelligent series,160,3500,2670,2096,607,marrón oscuro,12,19.98,33.36,0.95
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,negro,4,19.85,111.99,2.80
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,gris oscuro,20,36.83,207.79,5.19
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,gris claro,42,63.97,360.90,9.02
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,blanco,66,115.50,651.62,16.29
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,morado,4,28.59,161.30,4.03
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,rojo,12,33.47,188.83,4.72
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,verde claro,54,80.65,455.01,11.38
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,verde ,26,69.35,391.26,9.78
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,Verde oscuro,10,29.20,164.74,4.12
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,marrón claro,48,75.30,424.82,10.62
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,marrón oscuro,12,30.19,170.32,4.26
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,negro,4,18.15,102.40,2.56
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,gris oscuro,20,36.14,203.89,5.10
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,gris claro,42,63.63,358.98,8.97
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,blanco,66,114.60,646.54,16.16
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,morado,4,27.14,153.12,3.83
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,rojo,12,34.66,195.54,4.89
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,verde claro,54,81.21,458.17,11.45
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,verde ,26,72.61,409.65,10.24
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,Verde oscuro,10,38.60,217.77,5.44
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,marrón claro,48,72.80,410.72,10.27
Philips RetroFit BGS981(Experimental),80,4000,3060,709,627,marrón oscuro,12,27.98,157.86,3.95
