TipoLuminaria,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ColorSuelo,ReflectanciaSuelo,IluminanciaSuperior,FlujoSuperior,FHSI
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,negro,4,9.15,173.71,4.34
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,gris oscuro,20,12.59,239.13,5.98
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,gris claro,42,15.27,290.03,7.25
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,blanco,66,21.80,414.06,10.35
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,morado,4,13.38,254.13,6.35
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,rojo,12,14.63,277.87,6.95
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,verde claro,54,18.84,357.83,8.95
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,verde ,26,15.87,301.42,7.54
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,Verde oscuro,10,11.17,212.16,5.30
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,marrón claro,48,18.00,341.88,8.55
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,marrón oscuro,12,10.97,208.36,5.21
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,negro,4,9.14,173.66,4.34
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,gris oscuro,20,12.90,245.01,6.13
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,gris claro,42,14.97,284.33,7.11
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,blanco,66,22.32,423.93,10.60
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,morado,4,13.25,251.66,6.29
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,rojo,12,13.60,258.31,6.46
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,verde claro,54,19.51,370.56,9.26
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,verde ,26,15.72,298.58,7.46
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,Verde oscuro,10,11.64,221.08,5.53
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,marrón claro,48,17.05,323.84,8.10
Philips RetroFit BGS981(Experimental),160,4000,3060,210.6,627,marrón oscuro,12,11.83,224.69,5.62
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,negro,4,60.11,82.29,1.79
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,gris oscuro,20,101.80,139.37,3.03
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,gris claro,42,187.60,256.83,5.58
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,blanco,66,436.60,597.73,12.99
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,morado,4,77.44,106.02,2.30
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,rojo,10,87.61,119.94,2.61
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,verde claro,55,284.30,389.22,8.46
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,verde ,27,274.70,376.08,8.18
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,Verde oscuro,11,135.70,185.78,4.04
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,marrón claro,46,286.00,391.55,8.51
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,marrón oscuro,11,88.84,121.63,2.64
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,negro,4,70.56,96.60,2.10
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,gris oscuro,20,126.90,173.73,3.78
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,gris claro,42,212.90,291.47,6.34
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,blanco,66,431.50,590.74,12.84
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,morado,4,81.91,112.14,2.44
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,rojo,10,95.22,130.36,2.83
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,verde claro,55,284.40,389.36,8.46
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,verde ,27,278.30,381.01,8.28
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,Verde oscuro,11,139.10,190.43,4.14
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,marrón claro,46,272.90,373.61,8.12
Philips Coreline Malaga LED BRP102 LED55/740 II DM,80,4600,4033,3360,452,marrón oscuro,11,95.32,130.50,2.84
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,negro,4,64.74,385.26,8.38
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,gris oscuro,20,66.88,397.99,8.65
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,gris claro,42,86.02,511.89,11.13
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,blanco,66,115.00,684.35,14.88
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,morado,4,67.95,404.36,8.79
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,rojo,10,64.57,384.25,8.35
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,verde claro,55,87.87,522.90,11.37
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,verde ,27,86.45,514.45,11.18
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,Verde oscuro,11,71.53,425.66,9.25
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,marrón claro,46,86.52,514.87,11.19
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,marrón oscuro,11,56.92,338.72,7.36
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,negro,4,65.48,389.66,8.47
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,gris oscuro,20,61.12,363.72,7.91
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,gris claro,42,83.98,499.75,10.86
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,blanco,66,110.50,657.57,14.29
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,morado,4,69.94,416.20,9.05
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,rojo,10,63.05,375.20,8.16
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,verde claro,55,93.19,554.56,12.06
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,verde ,27,86.61,515.40,11.20
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,Verde oscuro,11,69.08,411.08,8.94
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,marrón claro,46,86.72,516.06,11.22
Philips Coreline Malaga LED BRP102 LED55/740 II DM,160,4600,4033,773,452,marrón oscuro,11,59.29,352.83,7.67
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,negro,4,46.36,153.30,2.84
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,gris oscuro,20,75.05,248.18,4.60
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,gris claro,42,119.30,394.50,7.31
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,blanco,66,152.70,504.95,9.35
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,morado,4,54.36,179.76,3.33
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,rojo,10,49.78,164.61,3.05
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,verde claro,55,152.24,503.43,9.32
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,verde ,27,130.10,430.21,7.97
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,Verde oscuro,11,99.80,330.02,6.11
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,marrón claro,46,149.40,494.04,9.15
Philips Quijote BRP400 LED54-4s/740dm50,80,5400,4257,1633,444,marrón oscuro,11,65.36,216.13,4.00
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,negro,4,26.87,363.65,6.73
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,gris oscuro,20,31.50,426.32,7.89
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,gris claro,42,45.24,612.27,11.34
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,blanco,66,55.27,748.02,13.85
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,morado,4,34.43,465.97,8.63
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,rojo,10,33.05,447.29,8.28
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,verde claro,55,47.16,638.26,11.82
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,verde ,27,40.10,542.71,10.05
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,Verde oscuro,11,34.97,473.28,8.76
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,marrón claro,46,40.57,549.07,10.17
Philips Quijote BRP400 LED54-4s/740dm50,160,5400,4257,399,444,marrón oscuro,11,33.47,452.98,8.39
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,negro,4,35.62,44.53,1.27
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,gris oscuro,20,69.83,87.29,2.49
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,gris claro,42,125.30,156.63,4.48
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,blanco,66,209.00,261.25,7.46
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,morado,4,51.42,64.28,1.84
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,rojo,10,53.79,67.24,1.92
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,verde claro,55,145.84,182.30,5.21
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,verde ,27,128.44,160.55,4.59
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,Verde oscuro,11,67.23,84.04,2.40
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,marrón claro,46,134.75,168.44,4.81
Philips ClearWay BGP303 LED35-4S/740,80,3500,4144,1473,442,marrón oscuro,11,45.94,57.43,1.64
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,negro,4,67.91,84.89,1.26
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,gris oscuro,20,154.23,192.79,2.87
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,gris claro,42,284.75,355.94,5.29
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,blanco,66,488.40,610.50,9.08
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,morado,4,99.47,124.34,1.85
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,rojo,12,140.63,175.79,2.61
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,verde claro,54,340.87,426.09,6.34
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,verde ,26,282.33,352.91,5.25
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,Verde oscuro,10,161.70,202.13,3.01
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,marrón claro,48,324.00,405.00,6.02
Philips CoreLine tempo medium BVP125 LED 67-4S/830,80,6724,3181,4329,605,marrón oscuro,12,111.98,139.98,2.08
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,negro,4,46.20,338.40,5.03
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,gris oscuro,20,62.72,459.40,6.83
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,gris claro,42,76.64,561.36,8.35
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,blanco,66,100.50,736.12,10.95
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,morado,4,53.76,393.77,5.86
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,rojo,12,62.43,457.28,6.80
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,verde claro,54,87.41,640.24,9.52
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,verde ,26,75.78,555.06,8.25
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,Verde oscuro,10,57.58,421.75,6.27
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,marrón claro,48,94.03,688.73,10.24
Philips CoreLine tempo medium BVP125 LED 67-4S/830,160,6724,3181,918,605,marrón oscuro,12,49.10,359.64,5.35
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,negro,4,36.64,85.03,1.89
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,gris oscuro,20,65.38,151.73,3.37
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,gris claro,42,108.60,252.04,5.60
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,blanco,66,228.20,529.60,11.77
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,morado,4,54.12,125.60,2.79
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,rojo,10,59.54,138.18,3.07
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,verde claro,55,139.45,323.63,7.19
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,verde ,27,122.57,284.46,6.32
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,Verde oscuro,11,76.86,178.38,3.96
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,marrón claro,46,122.44,284.16,6.31
Philips Iridium Gen3 Mini BGP381 GRN45/740,80,4500,4225,1939,450,marrón oscuro,11,47.93,111.24,2.47
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,negro,4,28.35,271.38,6.03
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,gris oscuro,20,38.40,367.58,8.17
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,gris claro,42,48.25,461.87,10.26
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,blanco,66,52.75,504.95,11.22
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,morado,4,32.43,310.43,6.90
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,rojo,10,33.37,319.43,7.10
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,verde claro,55,48.07,460.15,10.23
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,verde ,27,41.36,395.92,8.80
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,Verde oscuro,11,33.21,317.90,7.06
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,marrón claro,46,41.80,400.13,8.89
Philips Iridium Gen3 Mini BGP381 GRN45/740,160,4500,4225,470.1,450,marrón oscuro,11,27.75,265.63,5.90
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,negro,4,63.82,83.14,1.39
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,gris oscuro,20,130.24,169.66,2.83
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,gris claro,42,248.63,323.88,5.40
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,blanco,66,485.78,632.80,10.55
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,morado,4,82.21,107.09,1.78
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,rojo,12,121.00,157.62,2.63
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,verde claro,54,331.20,431.44,7.19
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,verde ,26,230.18,299.84,5.00
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,Verde oscuro,10,134.38,175.05,2.92
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,marrón claro,48,285.79,372.28,6.20
Hispaled Vera Series VRS60W R4S PF 3000K,80,6000,3099,4606,598,marrón oscuro,12,86.08,112.13,1.87
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,negro,4,72.17,397.27,6.62
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,gris oscuro,20,95.07,523.32,8.72
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,gris claro,42,98.17,540.39,9.01
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,blanco,66,141.78,780.44,13.01
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,morado,4,82.53,454.29,7.57
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,rojo,12,86.77,477.63,7.96
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,verde claro,54,111.87,615.80,10.26
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,verde ,26,110.97,610.84,10.18
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,Verde oscuro,10,81.64,449.39,7.49
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,marrón claro,48,115.38,635.12,10.59
Hispaled Vera Series VRS60W R4S PF 3000K,160,6000,3099,1090,598,marrón oscuro,12,83.27,458.37,7.64
